ID_PRO;ID_CLAS;ID_UN_MED;DESCRICAO;OBSERVACAO;ESTOQUE_MIN;PERECIVEL;QTD_EMBALAGEM
1548;173;1;VERGALHÃO CA 60 4.2MM 3/16 BARRA;;0;-1;1
1549;229;24;LAGE;;0;-1;1
1550;241;1;PASTA EXECUTIVA;;0;-1;1
1551;52;1;FITA P/ IMPRESSORA CITZEN DP 600;;0;-1;1
1552;46;1;CARTUCHO REMANUFATURADO HP 78;;0;-1;1
1553;161;24;PERSIANA;;0;-1;1
1554;131;1;PICKUP ROLLER HP 1000/1200/1300;;0;-1;1
1555;131;1;SEPARATION PAD HP 1000/1200;;0;-1;1
1556;131;1;PELÍCULA DO FUSOR HP 1000/1200/1300;;0;-1;1
1557;162;1;"REGISTRO ESF LATÃO 3/4""";;0;-1;1
1558;162;1;REGISTRO ESFERA VS 20MM;;0;-1;1
1559;162;1;REGISTRO DE PRESSÃO 25;;0;-1;1
1560;162;1;REGISTRO PVC C/ CANOPLA 25;;0;-1;1
1561;162;1;"REGISTRO ESF LATÃO 1/2""";;0;-1;1
1562;151;1;CARTÕES 4X4 COLORIDO;;0;-1;1
1563;162;1;VÁLVULA P/ PIA CR. S/ UNHO;;0;-1;1
1564;224;1;TORNEIRA ALAVANCA 18CM;;0;-1;1
1565;224;1;PINO VEDANTE TORNEIRA METAL 1/2;;0;-1;1
1566;224;1;TORNEIRA BÓIA CX DESCARGA 1/2;;0;-1;1
1567;224;1;TORNEIRA TANQUE 15CM 1/2;;0;-1;1
1568;185;1;CASCOFIX 1/2 KG;;0;-1;1
1569;167;1;LUVA SOLD 20 MM;;0;-1;1
1570;167;1;ADAPTADOR SOLD 20MMX1/2;;0;-1;1
1571;167;1;BUCHA RED, ROSCA 3/4X1/2;;0;-1;1
1572;34;1;PASTA SANFONADA OF 12 DIVISÕES;;0;-1;1
1573;167;1;ADAPTADOR SOLD 25MMX3/4;;0;-1;1
1574;167;1;REPARO PARA LINHA FOZ;;0;-1;1
1575;167;1;BUCHA RED SOLD 25X20MM;;0;-1;1
1576;167;1;OBTURADOR DE VARETA BRANCO;;0;-1;1
1577;167;1;TUBO EXTENSIVO METALIZADO CROMADO;;0;-1;1
1578;167;1;SIFÃO SANFONADO UNIVERSAL;;0;-1;1
1579;167;1;UNIÃO DE MANGUEIRA 1/2X1/2;;0;-1;1
1580;167;1;ENGATE PLÁSTICO 1/2X50CM;;0;-1;1
1581;167;1;"ESGUINCHO REVOLVER 3/4""";;0;-1;1
1582;125;7;TINTA DIALINE ACETINADO 0,9L;;0;-1;1
1583;125;7;AGUARRAS IQUINE 0,9L;;0;-1;1
1584;190;1;ROLO DE LÃ;;0;-1;1
1585;174;16;"ALICATE DIAGONAL 6""";;0;-1;1
1586;174;16;TESOURA DE PODA;;0;-1;1
1587;174;16;FERRO DE SOLDAR 25W;;0;-1;1
1588;174;16;ANCINHO CURVO LEVE;;0;-1;1
1589;174;16;PUXADOR ALUMÍNIO;;0;-1;1
1590;174;16;FER AÇO ESTAMPADO FLO 10 CM;;0;-1;1
1591;174;16;FER AÇO ESTAMPADO FLO 15CM;;0;-1;1
1592;174;16;ABRAÇADEIRA DE AÇO 3/4;;0;-1;1
1593;153;11;CABO SILFLEX 2X1,5;;0;-1;1
1594;153;11;CABO SILFLEX 4X4,0;;0;-1;1
1595;179;11;ANAUGER SENSORCOLTROL 15A;;0;-1;1
1596;223;17;ARGAMASSA;;0;-1;1
1597;223;28;CIMENTO 1 KG;;0;-1;1
1598;115;14;LUVA RASPA REFORÇADA 15CM;;0;-1;1
1599;149;1;CADEADO E 50;MM;0;-1;1
1600;149;1;CADEADO CR 20;;0;-1;1
1601;167;1;MANGUEIRA CRISTAL 3/4X2MM;;0;-1;1
1602;211;1;CAIXA DESCARGA PLUS;;0;-1;1
1603;211;1;BALDE EXTRA FORTE;;0;-1;1
1604;167;1;LUVA SOLD 25X3/4;;0;-1;1
1605;150;1;PLUG 3P 20A;;0;-1;1
1606;235;14;LUVA FINA EQUIP. PRO MANGA 1;;0;-1;1
1607;9;1;CARIMBO CONVENCIONAIS;;0;-1;1
1609;224;1;TORNEIRA SIMPLES;;0;-1;1
1610;162;1;CHUVEIRO C/ REGISTRO;;0;-1;1
1611;206;16;TUBO DE COBRE 1/4;;0;-1;1
1612;206;10;GÁS PARA AR CONDICIONADO;;0;-1;1
1613;206;16;TORNEIRA ENGATE RÁPIDO;;0;-1;1
1614;153;11;CABO P/ REDE DE COMPUTADORES;;0;-1;1
1615;153;1;PLUG MODULAR 8X8;;0;-1;1
1616;143;10;CARNE DE 1ª ALCATRA;;0;0;1
1617;182;1;ERVILHA 200G;;0;-1;1
1618;182;13;MILHO VERDE 200G;;0;-1;1
1619;182;13;MAIONESE SACHET;;0;-1;1
1620;242;10;PRESUNTO KG;;0;-1;1
1621;242;10;QUEIJO KG;;0;-1;1
1622;182;1;EXTRATO DE TOMATE 320 G;;0;0;1
1623;138;1;UVA PASSA;;0;-1;1
1624;236;1;MARGARINA 500 G;;0;0;1
1625;128;1;REFRIGERANTE SCHIN 2L;;0;-1;1
1626;143;10;CHARQUE 1 KG;;0;0;1
1627;128;1;REFRIGERANTE INDAIÁ 2L;;0;-1;1
1628;242;10;CALABREZA 1 KG;;0;0;1
1629;128;1;REFRIGERANTE SCHIN COLA 2L;;0;-1;1
1630;50;1;CARTUCHO REMANUFATURADO DE TONER P/M15;;0;-1;1
1631;131;1;CILINDRO DE CARTUCHO DE CÓPIAS P/M15;;0;-1;1
1632;157;27;ÓLEO LUBRIFICANTE 25W50;;0;-1;1
1633;154;1;MAO VIDRO PORTA LE;;0;-1;1
1634;154;1;CAIXA DE DIREÇÃO;;0;-1;1
1635;154;1;BENDIX PARTIDA;;0;-1;1
1636;154;1;BASE PLANET;;0;-1;1
1637;154;1;FILTRO ÓLEO PSL;;0;-1;1
1638;154;1;MAÇANETA EXT PORTA MALA;;0;-1;1
1639;154;1;BORRACHA PORTA;;0;-1;1
1640;154;1;BORRACHA PORTA MALAS;;0;-1;1
1641;154;1;FECHADURA PORTA MALAS;;0;-1;1
1642;154;1;REPARO ALAVANCA CÂMBIO;;0;-1;1
1643;154;1;PNEU 175/65;;0;-1;1
1644;154;1;ANTI CORROSIVO RADIADOR;;0;-1;1
1645;154;1;LÂMPADA 6/9;;0;-1;1
1646;154;1;SEMI EIXO COMPLETO LE;;0;-1;1
1647;154;1;ALÇA DO SILENCIOSO;;0;-1;1
1648;154;1;MANGUEIRA P/ INJEÇÃO ELETRONICA;;0;-1;1
1649;154;1;BRACAD P/ COMBUSTÍVEL;;0;-1;1
1650;154;1;QUICK CONECTOR;;0;-1;1
1651;154;1;ACABAMENTO SUP PORTA;;0;-1;1
1652;154;1;COIFA AMORTECEDOR DIANT;;0;-1;1
1653;154;1;SILENCIOSO INTERMEDIÁRIO;;0;-1;1
1654;154;1;ANEL ORINGS;;0;-1;1
1655;154;1;RETROVISOR LD;;0;-1;1
1656;154;1;COLUNA SUSP DIANTEIRA;;0;-1;1
1657;154;1;PRATO SUP. MOLA DIANT;;0;-1;1
1658;154;1;AMORTECEDOR PORTA MALA;;0;-1;1
1659;154;1;BATENTE PORTA MALA;;0;-1;1
1660;240;13;SACO PLÁSTICO LISO 20X24X08;;0;-1;1000
1661;240;13;SACO PLÁSTICO LISO 15X24X08;;0;-1;1000
1662;47;1;CARTUCHO DE IMPRESSÃO PARA S423;;0;-1;1
1663;26;19;BLOCO DE ANOTAÇÕES 756;;0;-1;1
1664;134;11;OXFORD BRANCO;;0;-1;1
1665;134;11;TECIDO POPELINE ESTAMPADO;;0;-1;1
1667;152;1;ÁGUA MINERAL 500 ML/UNIDADE;;0;-1;1
1668;152;5;ÁGUA MINERAL 500 ML/FARDO;;0;-1;12
1669;174;16;TRENA FITA METAL LONGA 50M;;0;-1;1
1670;125;1;TINTA DELACRYL - PISOS 3,6L;;0;0;1
1671;174;1;CHAVE FENDA 1/4X6;;0;-1;1
1672;163;1;DOBRADIÇA GALV. 3''X2'' C/3';;0;-1;1
1673;183;26;PARAFUSO CJ. AUTO-ATARR 3,9X1,9MM;;0;-1;1
1674;223;28;AREIA GROSSA M3;;0;-1;1
1675;223;28;SEIXO ROLADO M3;;0;-1;1
1676;174;1;ESTROVENGA;;0;-1;1
1677;115;14;LUVA TECIDO C/ APLICAÇÃO EM BORRACHA;;0;-1;2
1678;174;1;SERROTE UTILITY 16'';;0;-1;1
1679;173;16;SPORT 060/2;;0;-1;1
1680;184;1;INTERRUPTOR PERA 1S;;0;-1;1
1681;187;1;KIT DE EMBREAGEM TRATORES;;0;-1;1
1682;183;10;PREGO C/C 1X16'';;0;-1;1000
1683;183;1;PARAFUSO N. 7 C/ BUCHA N. 7;;0;-1;1
1684;187;1;VÁLVULA PEDAL TRATORES;;0;-1;1
1685;187;1;VÁLVULA SEGURANÇA TRATORES;;0;-1;1
1686;187;1;PARAFUSO 3X8X4 1/2;;0;-1;1
1687;187;1;ÓLEO DE FREIO DOT 3;;0;-1;1
1688;187;1;CORREIA GS;;0;-1;1
1689;187;1;SENSOR BOMBA INJETORA;;0;-1;1
1690;187;1;CABO VELOCÍMETRO TRATORES;;0;-1;1
1691;243;17;ADUBO 18.18.18;;0;-1;1
1692;243;17;ADUBO  SUPER SIMPLES;;0;-1;1
1693;243;17;URÉIA 45%;;0;-1;1
1694;150;11;CORDÃO FLEXÍVEL TORCIDO SIL 0,75;;0;-1;1
1695;204;16;SUPORTE AÇO VERSATIL 25 CM;;0;-1;1
1696;204;16;APOIO AÇO ZINCADO;;0;-1;1
1698;245;1;NITROGÊNIO LÍQUIDO;;0;-1;1
1699;246;1;TERMÔMETRO À ALCOOL;;0;-1;1
1700;187;1;APARABARRO;;0;-1;1
1701;187;1;BOMBA ALIMENTADORA MANUAL TRATORES;;0;-1;1
1702;187;1;HÉLICE PLÁSTICA DM 352;;0;-1;1
1703;194;1;BALÃO MÉDIO (ENFEITE);;0;-1;1
1704;194;1;BALÃO GRANDE (ENFEITE);;0;-1;1
1705;163;16;FECHADURA 803/10 OXIDADO;;0;-1;1
1706;136;1;TONER RECARGA HP 1200;;0;-1;1
1707;136;1;TONER RECARGA HP 1300;;0;-1;1
1708;136;1;TONER 006R01184;;0;-1;1
1709;174;1;TRENA FIBRA 30M;;0;-1;1
1710;212;16;KIT ATLETISMO;;0;-1;1
1711;212;16;CAMISA PYAZZA PASSEIO;;0;-1;1
1712;212;16;BERMUDA DE TAKTEL PASSEIO;;0;-1;1
1713;181;13;CANELA EM PÓ 40G;;0;-1;1
1714;181;13;COLORAU 100G;;0;-1;1
1715;181;13;CUMINHO 100G;;0;-1;1
1716;181;1;LEITE DE COCO 500ML;;0;-1;1
1717;181;10;POLPA DE FRUTAS;;0;-1;1
1718;181;1;VINAGRE 900ML;;0;-1;1
1719;181;13;ACHOCOLATADO EM PÓ 200G;;0;-1;1
1720;137;10;ALHO;;0;-1;1
1721;137;10;REPOLHO;;0;-1;1
1722;236;13;BISCOITO DOCE 400 G;;0;-1;1
1723;49;1;RECARGA DE TONER 4096;;0;-1;1
1724;48;1;RECARGA DE CARTUCHO JATO DE TINTA;;0;-1;1
1725;247;1;KIT FARDAMENTO SHORT/CAMISA EM MALHA;EM PV;0;-1;0
1726;154;16;BUJAO GALER. DAGUA  34 MM;;0;-1;0
1727;154;1;BOMBA DAGUA DUCATO;;0;-1;0
1728;154;1;DISCO FR. VENT. DUCATO 1.4T;;0;-1;0
1729;154;1;JG. DE PASTILHA DE FREIO DIANTEIRO;;0;-1;0
1730;154;1;LAMPADA 1 POLO 12V;;0;-1;0
1731;154;1;LAMPADA PAINEL;;0;-1;0
1732;154;1;LAMPADA  H7/100W;;0;-1;0
1733;154;1;ANTI FERRUGEM;;0;-1;0
1734;245;1;GAS DE COZINHA GLP 13 KG;;0;-1;0
1735;150;1;LAMPADA 30W 220V;;0;-1;0
1736;150;16;LAMPADA 25 W 220V;;0;-1;0
1737;150;1;REATOR VAPOR SODIO MET. 250W;;0;-1;0
1738;150;1;REATOR VAPOR SODIO 70W 220W;;0;-1;0
1739;150;1;REATOR VS/E-250 B 22-6-P;;0;-1;0
1740;150;1;RELE FOTOELETRICO RETARDO 220;;0;-1;0
1741;150;1;FIO SOLIDO SIL 4-00;;0;-1;0
1742;150;1;BASE RELE EXATRON;;0;-1;0
1743;125;1;CAL HIDRATADA;;0;-1;0
1744;246;1;BALANÇA PARA BANHEIRO;;0;-1;0
1745;246;1;BALANÇA INFANTIL DIGITAL;;0;-1;0
1746;246;1;ESTETOSCOPIO PINARD;;0;-1;0
1747;246;1;FITA METRICA PARA GESTANTE;;0;-1;0
1748;246;1;LANTERNA CLINICA;;0;-1;0
1749;246;1;OTOSCOPIO;;0;-1;0
1750;246;1;TENSIOMETRO COM ESTETOSCOPIO;;0;-1;0
1751;246;1;BOLSA PARA PESO;;0;-1;0
1752;174;1;CORDA  DE SEDA;;0;-1;0
1753;174;16;FERROES;;0;-1;0
1754;174;16;PA DE BICO;;0;-1;0
1755;174;16;PARAFUSOS COM BUCHA;;0;-1;0
1756;174;16;SIFAO PVC;;0;-1;0
1757;174;16;TORNEIRA PLASTICA;;0;-1;0
1758;174;16;HERBICIDA;;0;-1;0
1759;174;16;PA QUADRADA;;0;-1;0
1760;174;16;CABO DE MADEIRA;;0;-1;0
1761;174;16;ENXADA;;0;-1;0
1762;174;16;CADEADO 35 MM;;0;-1;0
1763;174;16;ESMALTE SINTETICO;;0;-1;0
1764;174;16;TINER;;0;-1;0
1765;174;16;PINCEL;;0;-1;0
1766;154;1;BATERIA 70 D;;0;-1;0
1767;154;1;REPARO PARCIAL;;0;-1;0
1768;154;1;KIT AMORTECEDOR;;0;-1;0
1769;154;1;CAIXA AMORTECEDOR;;0;-1;0
1770;154;1;KIT ROLAMENTO;;0;-1;0
1771;154;1;ROLAMENTO;;0;-1;0
1772;154;1;PARABRISA;;0;-1;0
1773;154;1;REASTIC SILICONE;;0;-1;0
1774;154;1;OLEO AGIP 20W;;0;-1;0
1775;182;2;SUCO EM PÓ;;10;-1;0
1776;236;2;BISCOITOS MAIZENA;;0;-1;1
1777;29;1;PAPEL ONDULADO;;0;-1;0
1778;29;9;PLASTICO COLORIDO;;0;-1;0
1779;29;9;PASTA EM CARTOLINA PLASTIFICADA;;0;-1;0
1780;22;2;PAPEL OFICIO 2;;0;-1;0
1781;22;8;PAPEL OFICIO A4;;0;-1;0
1782;13;1;BORRACHA PONTEIRA BRANCA;;0;-1;0
1783;13;1;COLA PLAST. EM BASTÃO C/ 12;;0;-1;0
1784;13;1;CANETA ESFEROGRAFICA;;0;-1;0
1785;2;1;CADERNO UNIV. 200 FL;;0;-1;0
1786;2;1;CANETA HIDROGRAFICA;;0;-1;0
1787;148;1;MASSA DE MODELAR;;0;-1;0
1788;148;2;PAPEL MICROONDULAOO;;0;-1;0
1789;3;1;UMEDECEDOR DE DEDO;;0;-1;0
1790;2;1;LIVRO PROTOCOLO;;0;-1;0
1791;2;1;PAPEL KRAFT;;0;-1;0
1792;2;1;PAPEL CONTACTO;;0;-1;0
1793;174;1;FITA VEDA ROSCA;;0;-1;0
1794;49;1;TINTA P/ IMPRESSORA;;0;-1;0
1795;136;1;TINTA PRETA;;0;-1;0
1796;206;13;JUNTA DA TRIPOIDE;;0;-1;0
1797;154;13;BARRA AXIAL;;0;-1;0
1798;154;13;BUCHA BAND SUSP DIANT;;0;-1;0
1799;154;13;ABRAÇADEIRA INSULOX;;0;-1;0
1800;246;2;CELEXINA 500MG;;0;-1;0
1801;246;1;KEFALEXIN 250 MG;;0;-1;0
1802;246;2;SEDALOL SIMPLES;;0;-1;0
1803;246;2;VITAMICE 500MG;;0;-1;0
1804;157;1;OLÉO YAMALUBE;;0;-1;0
1805;174;1;PINO MACHO;;0;-1;0
1806;174;16;PINO FEMEA;;0;-1;0
1807;246;1;CAPTOPRIL 25 MG;;0;-1;0
1808;174;16;CHUVEIRO HERC 4PC;;0;-1;0
1809;246;1;ACIDO ASCORBICO 500 MG;;0;-1;0
1810;166;11;FORRO 200 PVC;;0;-1;0
1811;166;11;RODAFORRO;;0;-1;0
1812;166;1;FORRO EMENDA;;0;-1;0
1813;246;13;BROMETO DE N-BUTILESCOPOLAMINA 10 MG;;0;-1;0
1814;246;1;BENZOATO DE BENZILA 25% 60 ML;;0;-1;0
1815;166;1;ASSENTO SANITÁRIO BRANCO;;0;-1;0
1816;246;1;SULFAMETOXAZOL 200MG, TRIMETROPRIMA 40 M;;0;-1;0
1817;246;1;SALBUTAMOL 2MG/5ML, SULFATO;;0;-1;0
1818;246;1;BROMETO DE N-BUTILESCOPOLAMINA 20 MG;;0;-1;0
1819;246;1;ACIDO ASCOBICO 200 MG;;0;-1;0
1820;246;1;FITOMEDIONA 10 MG / 1 ML;;0;-1;0
1821;246;1;AMPICILINA 250 MG/5ML;;0;-1;0
1822;246;1;BENZOATO DE BENZILA 25% 100 ML;;0;-1;0
1823;197;1;LATEX PCT;;0;-1;0
1824;197;2;AGULHA DESC. 30X8;;0;-1;0
1825;197;2;AGULHA DESC. 13X4;;0;-1;0
1826;166;1;KIT 40 TASCHIBRA;;0;-1;0
1827;166;11;FIO CORDÃO TORCIDO;;0;-1;0
1828;166;1;PORTA ALMOFADA MISTA;;0;-1;0
1829;166;1;PLAFON;;0;-1;0
1830;246;1;VERNIZ CAVITARIO VARNAL;;0;-1;0
1831;246;1;COND. GEL 37%;;0;-1;0
1832;197;2;FITA AUTO CLAVE;;0;-1;0
1833;197;2;PVPI TOPICO;;0;-1;0
1834;166;1;KIT 3V TASCHIBRA;;0;-1;0
1835;197;2;SONDA  DE FOLEY;;0;-1;0
1836;197;2;SONDA FOLEY 16;;0;-1;0
1837;197;2;SONDA FOLEY 18;;0;-1;0
1838;197;2;SONDA DE FOLEY 20;;0;-1;0
1839;197;2;ABAIXADOR DE LINGUA;;0;-1;0
1840;197;2;ESPARADRAPO IMP.;;0;-1;0
1841;197;2;SCALP 25;;0;-1;0
1842;197;2;ESPECULO VAGINAL;;0;-1;0
1843;197;2;SCALP  23;;0;-1;0
1844;154;1;BATERIA 90 MCE;;0;-1;0
1845;194;2;COPO DESC 100 ML;;0;-1;0
1846;194;1;SALGADINHO;;0;-1;0
1847;246;1;EACA BALSA XAROPE;;0;-1;0
1848;246;1;FELINAR XAROPE;;0;-1;0
1849;246;2;METRONIDAZOL;;0;-1;0
1850;246;2;AMPICILINA 500 MG;;0;-1;0
1851;246;1;LEISTIOMIX 10MG;;0;-1;0
1852;246;1;LISADOR GOTAS C/ 15 ML;;0;-1;0
1853;246;1;MORFLORACINA 400MG;;0;-1;0
1854;246;1;ARADOIS 50 MG;;0;-1;0
1855;246;1;NASACORT SOL SPRAY;;0;-1;0
1856;246;1;ATENOL 25 MG;;0;-1;0
1857;246;1;CALTREM 10 MG;;0;-1;0
1858;246;1;FORASEQ;;0;-1;0
1859;246;1;NIMISULIDA GOTAS;;0;-1;0
1860;246;1;GLIMEPIL 4 MG;;0;-1;0
1861;112;20;LUVA LATEX;;0;-1;0
1862;204;1;CASTELO COMPLETO 25MM;;0;-1;0
1863;112;1;PANO DE CHAO;;0;-1;0
1864;112;5;PAPEL HIGIENICO FD;;0;-1;0
1865;204;1;EXPULOS VASO SANITARIO;;0;-1;0
1866;112;20;FOSFORO;;0;-1;0
1867;204;1;FERROLHO;;0;-1;0
1868;112;1;GUARDANAPO;;0;-1;0
1869;125;1;MASSA CORRIDA 1/4;;0;-1;0
1870;80;1;PASTILHA SANITARIA;;0;-1;0
1871;186;1;BROCA MADEIRA 3 PONTA 4MM;;0;-1;0
1872;174;1;FIO RIGIDO 10 4.0MM;;0;-1;0
1873;174;1;VALVULA P/ LAVATORIO;;0;-1;0
1874;154;1;BATERIA 170 WD;;0;-1;0
1875;246;3;ATADURA CREPOM;;0;-1;0
1876;246;1;ATADURA  20X3;;0;-1;0
1877;246;1;BENZOP ANEST;;0;-1;0
1878;246;1;ESCALP  PVC;;0;-1;0
1879;246;1;GERM-RIO DESINFETANTE;;0;-1;0
1880;246;1;LAMINA BISTURI;;21;-1;23
1881;246;1;L,AMINA BISTURI 23;;0;-1;0
1882;246;1;LAMINA FOSCA;;0;-1;0
1883;246;1;LIMALHA 30G;;0;-1;0
1884;246;1;LUVA CIRURGICA;;0;-1;0
1885;246;1;LUVA CIR. 7,5;;0;-1;0
1886;248;1;BOTIJÃO 13 KG;;0;-1;0
1887;246;1;LUVA CIR. 8.0;;0;-1;0
1888;246;1;LUVA DE PROCED. TAM G;;0;-1;0
1889;246;1;LUVA DE PROCED;;0;-1;0
1890;246;1;LUVA CIR. 7.0;;0;-1;0
1891;246;1;LAMINA BISTURI 23;;0;-1;0
1892;154;1;CABO EMBREAGEM;;0;-1;0
1893;236;13;BROA DE MILHO;;0;-1;0
1894;78;13;SABAO DE COCO BARRA;;0;-1;0
1895;78;13;SABÃO BARRA PCT;;0;-1;0
1896;207;1;FOGÃO DE 4 BOCAS;;0;-1;0
1897;71;3;VASSOUA EM NYLON;;0;-1;0
1898;71;1;VASSOURA PIAÇAVA TP LEQUE;;0;-1;0
1899;71;1;VASSOURA EM NYLON COM PIAÇAVA;;0;-1;0
1900;71;1;TOALHA DE PAPEL INTERFOLHADA;;0;-1;0
1901;71;1;SABAO EM PO CX 500G;;0;-1;0
1902;71;1;VASSOURINHA SANITARIO;;0;-1;0
1903;198;1;BOTA DE COURO;;0;-1;0
1904;71;1;TOALHA DE ROSTO FELPUDA;;0;-1;0
1905;198;1;LUVA DE RASPA;;0;-1;0
1906;80;13;SABONETE PCT;;0;-1;0
1907;80;1;SACO LIXO 30L;;0;-1;0
1908;174;1;ENXADÃO;;0;-1;0
1909;236;10;COXA SOBRECOXA  KG;;0;-1;0
1910;166;1;DELACRIL PISO AZUL;;0;-1;0
1911;166;1;DELACRIL PISO VERMELHO;;0;-1;0
1912;101;2;COPO DESCARTAVEL 180 ML CX;;0;-1;0
1913;101;13;COPO DESC. CAFE CX;;0;-1;0
1914;101;13;DETERGENTE 500 ML CX;;0;-1;0
1915;148;1;ATLAS ESCOLAR DE SERGIPE;;0;-1;0
1916;181;5;LEITE EM PO FD;;0;-1;0
1917;181;2;COPO DESC 50 ML;;0;-1;0
1918;204;1;LAVATORIO SUSPENSO;;0;-1;0
1919;108;5;ARROZ FD;;0;-1;0
1920;204;1;LAMPADA FLUOR 40W;;0;-1;0
1921;108;5;ACUCAR FD;;0;-1;0
1922;215;10;MILHO MUNGUNZA;;0;-1;0
1923;215;5;MILHO MUNGUNZA;;0;-1;0
1924;125;1;DIATEX VINIL ACRILICO BR NEVE;;0;-1;0
1925;125;7;MASSA ACRIL RENDMAIS 36;;0;-1;0
1926;125;7;DIALINE ESM. SEC. RAP.;;0;-1;0
1927;125;7;THINNER 2750 ANJO 5L;;0;-1;0
1928;125;7;MASSA HIFRACOR 3,6 PVA;;0;-1;0
1929;125;7;LIXA MANUAL GR 100;;0;-1;0
1930;204;1;PINO PARA ALAVANCA;;0;-1;0
1931;150;1;LAMPADA FLUOR COMP. 25 W X 127;;0;-1;0
1932;125;1;ESMALTE BRILHANTE AZUL MAR;;0;-1;0
1933;174;1;TRENA 5M;;0;-1;0
1934;150;1;START 20/40;;0;-1;0
1935;174;1;VEDA ROSCA;;0;-1;0
1936;117;16;BANDEIRINHAS;;0;-1;0
1937;28;2;PAPEL HECTOGRAFICO C 100F;;0;-1;0
1938;148;2;GIZ ESCOLAR BC;;0;-1;0
1939;148;2;GRAMPO 26X6;;0;-1;0
1940;148;2;GIZ DE CERA;;0;-1;0
1941;148;2;PAPEL OFICIO 2 CX;;0;-1;0
1942;148;2;PAPEL A4  CX;;0;-1;0
1943;236;2;BISCOITO CREAM CRAKER;;0;-1;0
1944;236;5;MILHO P/ PIPOCA;;0;-1;0
1945;236;10;AMENDOIM;;0;-1;0
1946;236;10;CANJIQUINHA;;0;-1;0
1947;148;1;APAGADOR COMUN;;0;-1;0
1948;148;1;APAGADOR QUADRO BRANCO;;0;-1;0
1949;215;5;FARINHA DE MILHO;;0;-1;0
1950;125;1;DELANIL TINTA ACR AZUL;;0;-1;0
1951;239;13;COLHER DESCARTAVEL;;0;-1;0
1952;242;2;LEITE CONDENSADO;;0;-1;0
1953;3;1;GRAMPEADOR 26/6;;0;-1;0
1954;174;1;BACIA BRANCA;;0;-1;0
1955;174;23;TIJOLO C/6 FUROS;;0;-1;0
1956;189;1;REFIL COLA QUENTE;;0;-1;0
1957;174;1;PORTA COMPENSADO;;0;-1;0
1958;189;1;REFIL DE COLA QUENTE FINO;;0;-1;0
1959;163;1;FECHADURA F - 10 INT BOLA;;0;-1;0
1960;174;16;TUBO PVC ESG. 100MMX6M;;0;-1;0
1961;174;1;TE ESGOTO;;0;-1;0
1962;174;1;JOELHO 90 SOLD. E ROSCA;;0;-1;0
1963;150;1;REATOR VAPOR DE SÓDIO 400W EX;;0;-1;0
1964;150;1;LAMPADA VAPOR DE SÓDIO E40;;0;-1;0
1965;174;1;REGISTRO SOLDAVEL DE 20 HERC;;0;-1;0
1966;174;1;TUBO P/ VALVULA DESCARGA;;0;-1;0
1967;150;1;LAMPADA QUADRILUX 46 W;;0;-1;0
1968;148;1;CADERNO 48F;;0;-1;0
1969;174;1;ENGATE PLASTICO 40CMX1/2;;0;-1;0
1970;174;1;SPUD PLASTICO P/BACIA;;0;-1;0
1971;150;1;REATOR VAPOR DE SÓDIO 250 W EX;;0;-1;0
1972;125;1;HIDRACOR;;0;-1;0
1973;150;1;REATOR VAPOR DE SÓDIO 250WATT EX;;0;-1;0
1974;236;1;COMINHO EMPO 20G;;0;-1;0
1975;236;1;EXTRATO DE TOMATE 170G;;0;-1;0
1976;236;1;ESTRATO DE TOMATE 270G;;0;-1;0
1977;173;1;PARAFUSO 1/4 X 2,5;;0;-1;0
1978;167;11;CANO 4 POLEGADAS;;0;-1;0
1979;236;1;BEBIDA LACTIA;;0;-1;0
1980;247;1;CAPA PARA CHUVA;;0;-1;0
1981;236;1;MINGAU DE MILHO;;0;-1;0
1982;167;11;JOELHO 4 POLEGADAS;;0;-1;0
1983;174;1;MARRETA 1.5KG;;0;-1;0
1984;150;1;SUPORTE P/ FLUORECENTE 40 W;;0;-1;0
1985;150;1;LAMPADAS INC 127 X 200W;;0;-1;0
1986;59;1;DVD RW SAM. 18X;;0;-1;0
1987;65;1;MOUSE C/SCROL 3 BOT.;;0;-1;0
1988;64;1;TECLADO MULTIMIDIA;;0;-1;0
1989;64;1;TECLADO SLIM;;0;-1;0
1990;66;1;HP 27 JATO TINTA PRETO;;0;-1;0
1991;246;1;AGULHA GENGIVAL;;0;-1;0
1992;236;13;MASSA SOPA 500G;;0;-1;0
1993;246;1;GAZE;;0;-1;0
1994;246;1;GAZE 60X91;;0;-1;0
1995;246;1;POLOL 40MG;;0;-1;0
1996;246;1;PROPANOLON 40MG;;0;-1;0
1997;246;1;DIURIX 25MG C7300;;0;-1;0
1998;246;1;DIURIX 25MG CPRS;;0;-1;0
1999;2;1;PASTA GRAMPO TRILHO;;0;-1;0
2000;2;1;CORRETIVO;;0;-1;0
2001;246;2;COBALDOZE C/500;;0;-1;0
2002;246;1;DEXAMETASONA 0.5MG/5ML ELX;;0;-1;0
2003;246;1;DIPIRONA SOD 500MG/ML;;0;-1;0
2004;246;1;DIPIRONA SODICA 500MG C/500 CPRS;;0;-1;0
2005;110;1;MAC VITAMASSA ESPAGUETE 500 G;;0;-1;0
2006;246;1;IODEMAX 20MG/ML XPE 100ML;;0;-1;0
2007;246;1;MENTELMIN 20MG/ML SUSP 30 ML;;0;-1;0
2008;246;1;NEOCEFLEX 25MG/5ML SUSP;;0;-1;0
2009;246;1;NISTATINA 25000UI/G CR;;0;-1;0
